athlete_id,section_index,career_stage,governing_system,competition_level,representation_type,entity_type,canonical_entity_name,resolved_team_id,resolution_status,resolution_method,resolution_confidence,d1_development_eligible,frontier_eligible,school_stint_eligible,pre_college_baseline_eligible,sensitivity_analysis_eligible,exclusion_reason,manual_review_status,manual_review_note
6981540,2,COLLEGIATE,NCAA,NCAA_D2,SCHOOL,NON_CORE_COLLEGE,Shaw,,NON_CORE_ENTITY_RESOLVED,MANUAL_CONFERENCE_EVIDENCE,HIGH,false,false,false,true,true,NON_D1_COLLEGE_PERFORMANCE,COMPLETED,CIAA championship evidence supports NCAA Division II classification.
7002467,3,PRE_COLLEGIATE,NFHS_OR_HIGH_SCHOOL,HIGH_SCHOOL,SCHOOL,HIGH_SCHOOL,Wharton,,NON_CORE_ENTITY_RESOLVED,MANUAL_PROFILE_HEADER_EVIDENCE,HIGH,false,false,false,true,true,PRE_COLLEGIATE_PERFORMANCE,COMPLETED,TFRRS profile header explicitly labels Wharton as High School; profile also lists Colorado State and UCF as previous colleges.
7361421,2,PRE_COLLEGIATE,NFHS_OR_HIGH_SCHOOL,HIGH_SCHOOL,SCHOOL,HIGH_SCHOOL,Lansing,,NON_CORE_ENTITY_RESOLVED,MANUAL_PROFILE_HEADER_EVIDENCE,HIGH,false,false,false,true,true,PRE_COLLEGIATE_PERFORMANCE,COMPLETED,TFRRS profile header explicitly labels Lansing as High School; profile also lists Northern Illinois as a previous college.
7484449,2,COLLEGIATE,NCAA,NCAA_D2,SCHOOL,NON_CORE_COLLEGE,McKendree,,NON_CORE_ENTITY_RESOLVED,MANUAL_CONFERENCE_EVIDENCE,HIGH,false,false,false,true,true,NON_D1_COLLEGE_PERFORMANCE,COMPLETED,GLVC championship evidence supports NCAA Division II classification.
7724038,2,COLLEGIATE,NCAA,NCAA_D2,SCHOOL,NON_CORE_COLLEGE,Minot State,,NON_CORE_ENTITY_RESOLVED,MANUAL_CONFERENCE_EVIDENCE,HIGH,false,false,false,true,true,NON_D1_COLLEGE_PERFORMANCE,COMPLETED,NSIC championship evidence supports NCAA Division II classification.
7738720,3,COLLEGIATE,NAIA,NAIA,SCHOOL,NON_CORE_COLLEGE,Dakota State,,NON_CORE_ENTITY_RESOLVED,MANUAL_CONFERENCE_EVIDENCE,HIGH,false,false,false,true,true,NON_D1_COLLEGE_PERFORMANCE,COMPLETED,North Star Athletic Association meet evidence supports NAIA classification.
8331804,2,PRE_COLLEGIATE,NFHS_OR_HIGH_SCHOOL,HIGH_SCHOOL,SCHOOL,HIGH_SCHOOL,Somerset,,NON_CORE_ENTITY_RESOLVED,MANUAL_PROFILE_HEADER_EVIDENCE,HIGH,false,false,false,true,true,PRE_COLLEGIATE_PERFORMANCE,COMPLETED,TFRRS profile header explicitly labels Somerset as High School; profile also lists Texas Tech as a previous college.
8676816,3,COLLEGIATE,NWAC,OTHER_COLLEGE,SCHOOL,NON_CORE_COLLEGE,Spokane CC,,NON_CORE_ENTITY_RESOLVED,CROSS_SECTION_ENTITY_EVIDENCE,HIGH,false,false,false,true,true,NON_D1_COLLEGE_PERFORMANCE,COMPLETED,Same source entity is identified by NWAC evidence in another profile section.
8676860,2,COLLEGIATE,NCAA,NCAA_D2,SCHOOL,NON_CORE_COLLEGE,Michigan Tech,,NON_CORE_ENTITY_RESOLVED,MANUAL_CONFERENCE_EVIDENCE,HIGH,false,false,false,true,true,NON_D1_COLLEGE_PERFORMANCE,COMPLETED,GLIAC championship evidence supports NCAA Division II classification.
8701625,2,PRE_COLLEGIATE,NFHS_OR_HIGH_SCHOOL,HIGH_SCHOOL,SCHOOL,HIGH_SCHOOL,Central Catholic (OR),,NON_CORE_ENTITY_RESOLVED,MANUAL_PRE_COLLEGIATE_REVIEW,HIGH,false,false,false,true,true,PRE_COLLEGIATE_PERFORMANCE,COMPLETED,School name and athlete-profile section indicate pre-collegiate competition.
